Property Address,County Name,State,Zip,Property Name,Building Status,Number Of Units,Style,Star Rating,Market Name,Year Built,Year Renovated,Building Park,Total Buildings,Zoning,Number Of Stories,$Price/Unit,Vacancy %,Avg Unit SF,Avg Asking/Unit,Avg Effective/Unit,Rent Type,Affordable Type,Market Segment,Amenities,Developer Name,Owner Name,Number Of 1 Bedrooms Units,Number Of 2 Bedrooms Units,Number Of 3 Bedrooms Units,Number Of 4 Bedrooms Units,Number Of Studios Units,Latitude,Longitude
401 Liverpool Cir,Chesterfield,VA,23836,River's Bend Apartment Homes,Existing,318,Garden,4,Richmond,1999,,,16,C2,3,,2.0,964.00,"1,304","1,299",Market,,All,"Air Conditioning, Business Center, Clubhouse, Fitness Center, Laundry Facilities, Playground, Pool, Property Manager on Site, Furnished Units Available, Package Service, Storage Space, Lounge, Maintenance on site, Sundeck, Dining Room, Linen Closet, Patio, Private Bathroom",,King Properties,142,156,20,,,37.360706,-77.348258
4100 Lonas Pky,Chesterfield,VA,23112,Addison at Swift Creek,Existing,432,Garden,3,Richmond,1999,2015,,17,C4,3,,3.3,922.00,"1,766","1,766",Market,,All,"Air Conditioning, Business Center, Clubhouse, Fitness Center, Picnic Area, Playground, Property Manager on Site, Breakfast/Coffee Concierge, Car Wash Area, Grill, Guest Apartment, Package Service, Wi-Fi, Storage Space, Lounge, Maintenance on site, Sundeck, Dining Room, Vinyl Flooring, Window Coverings",,Weinstein Properties,166,216,50,,,37.420821,-77.621157
13101 Lowery Bluff Way,Chesterfield,VA,23112,Swift Creek Commons,Existing,312,Garden,4,Richmond,2004,,,15,O2,3,,3.2,"1,141.00","1,641","1,641",Market,,All,"Air Conditioning, Business Center, Clubhouse, Fitness Center, Property Manager on Site, Gated, Furnished Units Available, Pet Play Area, Wi-Fi, Smoke Free, Wheelchair Accessible (Rooms)",,Sentinel Real Estate Corporation,96,168,48,,,37.415045,-77.6352244
2530 Marina Dr,Chesterfield,VA,23234-5139,Falling Creek,Existing,348,Garden,2,Richmond,1964,2017,,31,RMF,2,,2.2,568.00,899,895,Market,,All,"Air Conditioning, Laundry Facilities, Playground, Property Manager on Site, Package Service, Maintenance on site, Vinyl Flooring, Window Coverings",,Prospect Capital Corporation,230,116,,,2,37.4378792,-77.4393993
3501 Meadowdale Blvd,Chesterfield,VA,23234,Crystal Lakes,Existing,716,Garden,2,Richmond,1967,2020,,95,R7,2,,4.4,944.00,917,912,Market,,All,"Laundry Facilities, Picnic Area, Playground, Pool, Walking/Biking Trails, Patio",,Levco Management,108,486,122,,,37.436979,-77.458757
10000 Midlothian Tpke,Chesterfield,VA,23235,Suburban Village MHC,Existing,220,Single-Family Home,2,Richmond,,,,,MH1,,,4.3,,,,Market,,All,,,Horizon Land Company,,220,,,,37.5074046,-77.5771054
12300 Moore’s Lake Rd,Chesterfield,VA,23831-2317,The Jane at Moore's Lake,Existing,385,Mid-Rise,4,Richmond,2019,,,2,,4,,6.5,836.00,"1,707","1,707",Market,,All,"Air Conditioning, Clubhouse, Courtyard, Fitness Center, Pool, Maintenance on site",Plus MGT,Emerson & Roper- The Jane at Moore's Lake,193,123,69,,,37.3621348,-77.4099752
3310 Old Courthouse Rd,Chesterfield,VA,23236-1411,Rockwood Park Apartments,Existing,132,Garden,3,Richmond,1990,,,17,R9,2,,3.8,865.00,"1,212","1,206",Market,,All,"Air Conditioning, Clubhouse, Fitness Center, Breakfast/Coffee Concierge, Car Wash Area, Pet Play Area, Planned Social Activities, Volleyball Court",,"Bonaventure Realty Group, LLC",42,60,30,,,37.4461964,-77.5851768
14400 Palladium Dr,Chesterfield,VA,23114,Colony at Centerpointe,Existing,255,Garden,4,Richmond,2016,,,11,RMF,3,,2.0,"1,149.00","1,879","1,872",Market,,All,"Air Conditioning, Business Center, Clubhouse, Fitness Center, Breakfast/Coffee Concierge, Recycling, Wi-Fi, Wheelchair Accessible (Rooms)",Robinson Development,"Preferred Apartment Communities, Inc",72,147,36,,,37.4753164,-77.6614078
2801 Pavilion Pl,Chesterfield,VA,23112,Colonial Village at Waterford,Existing,312,Garden,3,Richmond,1989,,,27,RMF,3,,5.3,925.00,"1,622","1,612",Market,,All,"24 Hour Access, Air Conditioning, Fitness Center, Laundry Facilities, Picnic Area, Playground, Pool, Tennis Court, Grill, Package Service, Racquetball Court, Volleyball Court, Sundeck",,"Mid-America Apartment Communities, Inc.",116,180,16,,,37.452648,-77.647896
400 Perimeter Dr,Chesterfield,VA,23113-7345,The Vue at Westchester Commons,Existing,238,Mid-Rise,4,Richmond,2020,,,2,,4,,2.6,916.00,"1,917","1,908",Market,,All,"24 Hour Access, Controlled Access, Clubhouse, Courtyard, Fitness Center, Pool, Breakfast/Coffee Concierge, Grill, Trash Pickup - Door to Door, Wi-Fi, Elevator, Hearing Impaired Accessible",Sowers and Associates,Emerson Builders,100,138,,,,37.5162239,-77.6902964
12224 Petrel Crossing,Chesterfield,VA,23112,Towns at Swift Creek,Existing,200,Townhome,4,Richmond,2021,,Towns at Swift Creek,48,,3,,26.1,"1,841.00","2,355","2,307",Market,,All,"Air Conditioning, Business Center, Clubhouse, Fitness Center, Pool, Property Manager on Site, Grill, Pet Play Area, Walking/Biking Trails, Lounge, Maintenance on site, Online Services, Sundeck, Freezer, Pantry, Patio, Green Community",,Boyd Homes,,,125,75,,37.4431249,-77.6416094
6300 Pewter Ave,Chesterfield,VA,23224,Rollingwood Apartments,Existing,278,Garden,2,Richmond,1978,2006,,27,R7,3,,5.2,846.00,"1,088","1,081",Market,,All,"Air Conditioning, Clubhouse, Playground, Property Manager on Site, Tennis Court, Package Service, Maintenance on site, Sundeck, Dining Room, Vinyl Flooring, Window Coverings",,Hivernan Realty Group LLC,62,156,60,,,37.465495,-77.511266
705 Pool Rd,Chesterfield,VA,23236,Aston Ridge,Existing,229,Garden,2,Richmond,1975,2016,,24,R7,2,,3.0,929.00,"1,422","1,415",Market,,All,"24 Hour Access, Fitness Center, Playground, Pool, Property Manager on Site, Basketball Court, Deck, Patio",,West End Capital Group,55,119,55,,,37.5041728,-77.5900471
5701 Quiet Pine Cir,Chesterfield,VA,23831,River Forest,Existing,300,Garden,4,Richmond,2006,,,17,RMF,3,,12.1,927.00,"1,545","1,529",Market,,All,"Air Conditioning, Business Center, Clubhouse, Fitness Center, Laundry Facilities, Picnic Area, Playground, Pool, Sauna, Tennis Court, Grill, On-Site Retail, Recycling, Volleyball Court",,NorthRock Companies,84,216,,,,37.3490663,-77.4857729
5403 Remuda Dr,Chesterfield,VA,23234-4470,Remuda Crossing,Existing,86,Garden,2,Richmond,1958,,,5,R7,2,,0.0,880.00,924,922,Market,,All,"24 Hour Access, Air Conditioning",,"KRS Holdings, Inc.",,86,,,,37.4496538,-77.443458
12000 Reserve Manor Cir,Chesterfield,VA,23831,The Reserve at Rivington,Existing,276,Low-Rise,4,Richmond,2020,,,2,,3,,2.5,"1,015.00","1,592","1,588",Market,,All,"Air Conditioning, Clubhouse, Picnic Area, Pool, Property Manager on Site, Gameroom, Pet Play Area, Pantry",,Cathcart Group,84,156,36,,,37.3500934,-77.4894109
1530 River Tree Dr,Chesterfield,VA,23836,Rivermont Crossing Apartments & Townhomes,Existing,458,Garden,4,Richmond,2009,,,17,C5,3,,0.2,"1,375.00","1,976","1,971",Market,,All,"24 Hour Access, Air Conditioning, Business Center, Controlled Access, Clubhouse, Fitness Center, Laundry Facilities, Playground, Pool, Property Manager on Site, Tenant Controlled HVAC, Package Service, Renters Insurance Program, Walking/Biking Trails, Yard, Storage Space, Bicycle Storage, Hearing Impaired Accessible, Maintenance on site, Multi Use Room, Online Services, Vision Impaired Accessible, Dining Room, Handrails, Patio, Recreation Room, Trash Compactor, Vinyl Flooring, Warming Drawer, Wheelchair Accessible (Rooms), Window Coverings, Public Transportation, Individual Locking Bedrooms, Private Bathroom",,Stephen A. Goldberg Company,,176,282,,,37.3374321,-77.3334906
20900 Riverterrace Rd,Chesterfield,VA,23803-1834,River Road Terrace,Existing,128,Garden,2,Richmond,1973,,,16,R7,2,,6.3,950.00,"1,300","1,291",Market,,All,"24 Hour Access, Air Conditioning, Controlled Access, Laundry Facilities, Playground, Property Manager on Site, Tenant Controlled HVAC, Tennis Court, Renters Insurance Program, Storage Space, Hearing Impaired Accessible, Maintenance on site, Multi Use Room, Online Services, Vision Impaired Accessible, Handrails, Trash Compactor, Vinyl Flooring, Warming Drawer, Wheelchair Accessible (Rooms), Window Coverings, Public Transportation, Individual Locking Bedrooms, Private Bathroom",,"Riverbend Investments, LLC",,128,,,,37.2370347,-77.4335841
14250 Sapphire Park Ln,Chesterfield,VA,23114,Sapphire at Centerpointe,Existing,192,Garden,4,Richmond,2020,,,20,R7,3,,2.1,"1,131.00","1,789","1,781",Market,,All,"Air Conditioning, Pet Play Area, Car Charging Station, Maintenance on site, Online Services, Wheelchair Accessible (Rooms)",Robinson Development Group,CenterPoint Properties,66,96,30,,,37.4749512,-77.6599419
6401 Scots Pine Run,Chesterfield,VA,23234-5917,Austin Woods,Existing,230,Low-Rise,4,Richmond,2021,,,1,,2,,0.0,"1,010.00","1,476","1,467",Market,,All,"Fitness Center, Pool, Property Manager on Site, Grill, Maintenance on site, Freezer","Waverton Associates, Inc.","Waverton Associates, Inc.",80,134,16,,,37.4218539,-77.497621
7300 Southwind Dr,Chesterfield,VA,23832,Sterling Glen,Existing,300,Garden,3,Richmond,1999,,,18,C3,3,,1.3,951.00,"1,495","1,490",Market,,All,"24 Hour Access, Air Conditioning, Clubhouse, Fitness Center, Laundry Facilities, Playground, Property Manager on Site, Tennis Court, Basketball Court, Car Wash Area, Grill, Laundry Service, Volleyball Court, Walking/Biking Trails, Storage Space, Maintenance on site, Multi Use Room, Deck, Loft Layout, Patio, Wheelchair Accessible (Rooms)",,"Wisely Properties, LLC",72,156,72,,,37.4002833,-77.6978885
6925 Starview Ct,Chesterfield,VA,23225,Cloverleaf Lake Townhouse Apartments,Existing,210,Garden,2,Richmond,1972,,,20,R7,2,,1.9,"1,061.00","1,521","1,515",Market,,All,"Air Conditioning, Laundry Facilities, Picnic Area, Playground, Pool, Property Manager on Site, Storage Space, Maintenance on site, Sundeck, Window Coverings",,"Fairfield Development Company, LLC",10,190,10,,,37.490205,-77.522548
6417 Statute St,Chesterfield,VA,23832-6750,Courthouse Green Apartments,Existing,266,Garden,3,Richmond,1973,,,33,R7,2,,1.6,944.00,"1,292","1,292",Market,,All,"Air Conditioning, Fitness Center, Laundry Facilities, Picnic Area, Playground, Property Manager on Site, Grill, Laundry Service, Package Service, Storage Space, Maintenance on site, Patio",,McCann Realty Partners LLC,110,124,32,,,37.3787851,-77.4999255
6100 Strathmore Rd,Chesterfield,VA,23234,Parkway Gardens,Existing,44,Garden,2,Richmond,1965,,,11,,1,,4.1,675.00,635,632,Market,,All,"Air Conditioning, Laundry Facilities",,"Crown Hill, LLC",44,,,,,37.4417441,-77.4503715
14701 Swift Ln,Chesterfield,VA,23114-7000,The Grove at Swift Creek Apartments,Existing,240,Garden,3,Richmond,2000,,,11,"N/Av, Virginia",3,,5.0,"1,116.00","1,626","1,615",Market,,All,"Air Conditioning, Business Center, Clubhouse, Fitness Center, Laundry Facilities, Pool, Tennis Court, Gated, Breakfast/Coffee Concierge, Car Wash Area, Grill, Laundry Service, Walking/Biking Trails, Wi-Fi, Wheelchair Accessible (Rooms)",,NTS Development Company,84,108,48,,,37.4656696,-77.6758591
2301 Thoroughbred Cir,Chesterfield,VA,23113,Trophy Club at Bellgrade Apartments,Existing,248,Garden,3,Richmond,1997,,,13,RMF,3,,2.0,912.00,"1,767","1,760",Market,,All,"Air Conditioning, Clubhouse, Courtyard, Fitness Center, Property Manager on Site, Pet Play Area, Racquetball Court, Smoke Free, Wheelchair Accessible (Rooms)",,Edward Rose & Sons,88,160,,,,37.524405,-77.61515
2024 Timbers Hill Rd,Chesterfield,VA,23235,The Timbers Apartments,Existing,240,Garden,3,Richmond,1988,,,17,"R7, Virginia",3,,1.3,970.00,"1,793","1,793",Market,,All,"Air Conditioning, Business Center, Clubhouse, Fitness Center, Picnic Area, Playground, Property Manager on Site, Sauna, Spa, Tennis Court, Grill, Package Service, Maintenance on site, Sundeck",,"PRG Real Estate Management, Inc.",58,146,36,,,37.5220297,-77.5715354
300 Twinridge Ln,Chesterfield,VA,23235-5282,The Virginian,Existing,119,Low-Rise,3,Richmond,1988,,,2,R15,3,,3.9,695.00,"3,104","3,087",Market,,Senior,"Air Conditioning, Business Center, Laundry Facilities, Property Manager on Site, Gameroom, Walking/Biking Trails, Lounge, Patio, Wheelchair Accessible (Rooms)",,"Sabra Health Care Reit, Inc",35,44,,,40,37.4996774,-77.5500768
7660 Van Hoy Dr,Chesterfield,VA,23235-6457,Cross Creek Apartments,Existing,225,Garden,3,Richmond,1991,,,12,R9,2,,0.0,949.00,"1,197","1,194",Market,,All,"Air Conditioning, Clubhouse, Fitness Center, Picnic Area, Playground, Pool, Property Manager on Site, Grill, Package Service, Storage Space, Maintenance on site, Sundeck, Dining Room, Skylights, Vinyl Flooring, Window Coverings",,"TSB Management Group, LLC.",40,134,51,,,37.462571,-77.533172
5500 Vinings Dr,Chesterfield,VA,23234,The Vinings at Iron Bridge,Existing,257,Garden,3,Richmond,1999,,,13,O2,3,,3.3,949.00,"1,544","1,537",Market,,All,"Air Conditioning, Clubhouse, Fitness Center, Property Manager on Site, Furnished Units Available, Racquetball Court, Smoke Free, Wheelchair Accessible (Rooms)",,Edward Rose & Sons,78,146,33,,,37.449631,-77.495213
400 Water Pointe Ln,Chesterfield,VA,23112,Waterpointe,Existing,51,Garden,3,Richmond,2001,,,6,C2,3,,,"1,222.00","1,137","1,134",Market,,All,"Air Conditioning, Fitness Center, Playground, Sauna, Tennis Court, Cabana, Package Service, Wheelchair Accessible (Rooms)",,Havens Properties,6,45,,,,37.40929,-77.68627
701 Watkins View Dr,Chesterfield,VA,23114,Center West,Existing,450,Mid-Rise,4,Richmond,2021,,,5,,4,,34.4,"1,008.00","1,811","1,716",Market,,All,"Clubhouse, Fitness Center, Pool, Elevator, Pet Care, Island Kitchen, Workshop",Castle Development Partners,"Grady Management, Inc.",217,140,93,,,37.5052285,-77.6929055
7001 Wentworth St,Chesterfield,VA,23237-1503,Lafayette Townhouse Apartments,Existing,48,Garden,3,Richmond,1956,,,7,R7,2,,,800.00,741,739,Market,,All,Air Conditioning,,Jonathan A. Frank,,48,,,,37.4293998,-77.4444602
5314 Whetstone Rd,Chesterfield,VA,23234,Meadowbrook Apartments,Existing,493,Garden,2,Richmond,1973,,,54,,2,,3.1,"1,057.00","1,444","1,437",Market,,All,"Air Conditioning, Laundry Facilities, Playground, Pool, Property Manager on Site, Gated, Maintenance on site, Den, Dining Room, Window Coverings",,Paul Carnes,33,359,85,16,,37.451721,-77.458023
1104 Winterlake Dr,Chesterfield,VA,23113-4354,Winterfield at Midlothian Apartments,Existing,238,Garden,4,Richmond,2019,,,9,C3,3,,3.0,891.00,"1,567","1,560",Market,,All,"Air Conditioning, Business Center, Fitness Center, Pool, Lounge, Maintenance on site, Breakfast Nook, Patio",Blackwood Development Co.,"CMB Development, LLC",122,116,,,,37.5077936,-77.6632126
6500 Woodlake Village Ct,Chesterfield,VA,23112,Woodlake Village,Existing,241,Garden,3,Richmond,1989,,,19,O2,3,,0.0,"1,068.00","1,194","1,191",Market,,All,"Fitness Center, Playground, Pool, Sauna, Tennis Court, Cabana, Furnished Units Available, Built-In Bookshelves, Wheelchair Accessible (Rooms)",,Havens Properties,6,203,32,,,37.4092886,-77.6862704
3101 Danzler Cir,Chesterfield,VA,23224,,Existing,18,Garden,2,Richmond,1969,,,9,R7,2,,4.1,,,,Market,,All,,,Pioneer Realty,,,,,,37.4665308,-77.5154124
3524 Festival Park Plz,Chesterfield,VA,23831-4449,Park at Village Green,Existing,60,,3,Richmond,,,,4,C3,2,,3.3,"1,004.00","1,324","1,318",Market,,All,"24 Hour Access, Clubhouse, Fitness Center, Playground, Pool, Tennis Court, Grill, Pet Play Area, Deck, Patio",,Emerson Builders,60,,,,,37.3582692,-77.4457938
5000 Grand Oaks Forest Cir,Chesterfield,VA,23831,Grand Oaks Apartment Homes,Existing,30,Garden,2,Richmond,,,,27,RMF,2,,4.1,,,,Market,,All,,,,30,,,,,37.3543406,-77.4567887
6745 Jefferson Davis Hwy,Chesterfield,VA,23237-1218,The Maisonettes Apartments,Existing,104,Garden,3,Richmond,,,,20,MH1,2,,3.2,678.00,934,930,Market,,All,"Window Coverings, Private Bathroom",,Maison Incorporated,104,,,,,37.4326575,-77.4377512
9701 Jefferson Davis Hwy,Chesterfield,VA,23237-4666,Holiday Mobile Home Park,Existing,140,,2,Richmond,1967,,,,MH1,1,,4.1,498.00,,,Market,,All,,,John Yancey Real Estate,,,,,140,37.3937053,-77.4259763
3201 Lady Marian Ln,Chesterfield,VA,23113,,Existing,1,Low-Rise,2,Richmond,1989,,,1,R40,2,,4.3,"4,139.00",,,Market,,All,,,Gary Savage,,,,1,,37.5379157,-77.6108209
3145 Parkdale Rd,Chesterfield,VA,23234-6357,,Existing,12,Low-Rise,2,Richmond,1956,,,3,R7,1,,4.1,,,,Market,,All,,,"KRS Holdings, Inc.",12,,,,,37.4379419,-77.4518733
5300 Pippin Ln,Chesterfield,VA,23234,Kenswick Apartments,Existing,56,Garden,3,Richmond,,,,7,R7,2,,4.1,720.00,,,Market,,All,,,Edwrad Curotto,,56,,,,37.4601073,-77.4984697
5400 Remuda Dr,Chesterfield,VA,23234,,Existing,26,,2,Richmond,1963,,,,R7,2,,4.1,,,,Market,,All,,,"KRS Holdings, Inc.",,,,,,37.4495076,-77.4440923
12020 Winfree St,Chesterfield,VA,23831-4937,,Existing,4,Low-Rise,2,Richmond,,,,1,R7,2,,4.1,600.00,,,Market,,All,,,Longest & Daniels Realtors,4,,,,,37.3564,-77.4418
